# Reprocess started Wed Jun 24 18:19:08 EDT 2026
Output dir: /Users/joshuawallace/Data/Sync_Data/Inbox-Raw
[RUN 1] exports/20260602_kevinfremon_your-ai-agents-aren-t-a-team-without-the/source/7646876824844242190.mp4
[OK  1] exports/20260602_kevinfremon_your-ai-agents-aren-t-a-team-without-the/source/7646876824844242190.mp4
[RUN 2] exports/20250825_sam-jarman_how-to-beat-the-airlines-using-chatgpt-n/source/7542645661716483383.mp4
[OK  2] exports/20250825_sam-jarman_how-to-beat-the-airlines-using-chatgpt-n/source/7542645661716483383.mp4
[RUN 3] exports/20240129_theninaconti_the-sensory-worker-come-see-me-live-http/source/7329562416822390049.mp4
[OK  3] exports/20240129_theninaconti_the-sensory-worker-come-see-me-live-http/source/7329562416822390049.mp4
[RUN 4] exports/20220906_drchrispharmd_duet-with-pbsquamer-adhd-anxiety-depress/source/7140078199353920810.mp4
[OK  4] exports/20220906_drchrispharmd_duet-with-pbsquamer-adhd-anxiety-depress/source/7140078199353920810.mp4
[RUN 5] exports/20241021_section8mogul_drop-section-8-to-learn-how-to-buy-your-/source/7428376995588902190.mp4
[OK  5] exports/20241021_section8mogul_drop-section-8-to-learn-how-to-buy-your-/source/7428376995588902190.mp4
[RUN 6] exports/20260508_theaiimpact_claude-cowork-social-content-system-1-id/source/7637472883492654357.mp4
[OK  6] exports/20260508_theaiimpact_claude-cowork-social-content-system-1-id/source/7637472883492654357.mp4
[RUN 7] exports/20241227_melrobbins_stop-wasting-energy-on-trying-to-get-oth/source/7453122487128198431.mp4
[OK  7] exports/20241227_melrobbins_stop-wasting-energy-on-trying-to-get-oth/source/7453122487128198431.mp4
[RUN 8] exports/20230311_mactelecomnetworks_what-should-i-make-this-protectli-into-w/source/7209369530760580358.mp4
[OK  8] exports/20230311_mactelecomnetworks_what-should-i-make-this-protectli-into-w/source/7209369530760580358.mp4
[RUN 9] exports/20250514_undecidedwith-mat_how-deep-sea-water-is-now-drinkable-part/source/7504239227882753310.mp4
[OK  9] exports/20250514_undecidedwith-mat_how-deep-sea-water-is-now-drinkable-part/source/7504239227882753310.mp4
[RUN 10] exports/20230601_gianluca-mauro_discover-the-game-changing-ai-social-med/source/7239627871872879898.mp4
